Account,Closed PnL
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1478494.69111
0x083384f897ee0f19899168e3b1bec365f52a9012,965588.745995
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,205652.297237
0xbaaaf6571ab7d571043ff1e313a9609a10637864,201353.921589
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,197294.93561
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,142583.699257
0x513b8629fe877bb581bf244e326a047b249c4ff1,60544.304874
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,58534.883527
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,45099.968159000004
0x2c229d22b100a7beb69122eed721cee9b24011dd,43040.784276
