Coin,Closed PnL
@107,1449482.156367
SOL,991610.532964
HYPE,532025.211295
ENA,160058.380219
BTC,104147.422087
USUAL,60765.860271
ETH,50563.84001899998
kBONK,29679.824185
MELANIA,19789.876098
ME,17313.69086
@85,16966.719764
MOODENG,16078.430414
kPEPE,14432.573865
PURR/USDC,13516.273757
DOGE,12510.784828
WLD,11051.658249
WIF,10770.312945
AAVE,9184.9953
PNUT,8544.6855
ETHFI,8355.134706
GOAT,7817.345154
TURBO,7652.506112
NEAR,7224.979165
JELLY,6904.064602
PURR,6785.985461
TAO,6508.296792
ADA,4540.50072
APE,4307.287799
PENDLE,4257.320137
RENDER,4033.180854
FTM,3953.5365189999998
ONDO,3875.309749
AI16Z,3141.114866
MEME,3088.7670160000002
TNSR,2673.369591
JUP,2621.004516
SUI,2578.783773
OP,2409.95372
SPX,2057.209938
AIXBT,1917.810005
XRP,1791.6498
HBAR,1633.261187
VINE,1619.154242
BIGTIME,1567.72619
RNDR,1560.79567
GRIFFAIN,1558.018133
VVV,1557.896476
COMP,1316.2213379999998
ZETA,1303.55144
FTT,1279.302561
MANTA,1272.8547899999999
TIA,1223.220278
@142,1118.009982
XAI,1074.213807
YGG,960.7701820000001
PENGU,750.891424
EIGEN,711.913974
LINK,674.584319
APT,674.1
TRX,670.1615039999999
POLYX,618.133683
BLAST,616.090138
CHILLGUY,555.198843
ZEREBRO,520.097996
ARB,509.698808
W,497.112391
SUSHI,485.209834
IMX,476.096612
HPOS,457.0888120000001
@4,436.358361
DYDX,412.325778
INJ,400.519504
DYM,373.07007
PEOPLE,360.646005
@74,312.64597599999996
ALT,230.6884
CYBER,191.5296
ETC,166.7236
FET,163.6559
@8,163.30807900000002
RSR,160.127816
CAKE,159.880674
DOT,154.381123
AR,129.77132
BLUR,126.426836
GMT,121.08594
ACE,118.86720000000001
VIRTUAL,114.673075
LTC,114.229702
STRK,79.041422
STX,75.731122
ANIME,70.90326
LDO,69.92019499999999
@35,67.028127
AVAX,66.50056000000001
GMX,66.144804
RUNE,63.4978049999999
ZK,52.098631999999995
MYRO,51.19653
@47,50.313458
AI,41.468872
ORDI,40.475254
ATOM,37.228269
@41,36.73844
SAND,36.734353999999996
BIO,36.105776
@38,33.271993
ARK,26.13828
BADGER,22.546093
JTO,22.476
UNI,21.646267
@40,16.748319
@113,15.495707
@33,13.566929
@39,12.238556
@37,10.17704
@103,9.970923
BNB,6.593808
@20,4.738087999999999
TRUMP,3.6423
@3,0.462514
MAV,0.0189
SEI,0.00345
@48,0.0
@11,0.0
@14,0.0
USTC,0.0
NEIROETH,0.0
MEW,0.0
MOVE,0.0
ZRO,0.0
@45,0.0
@23,0.0
@42,0.0
@44,0.0
@46,0.0
@59,0.0
@78,0.0
GALA,0.0
SUPER,0.0
BOME,0.0
ALGO,0.0
KAITO,0.0
@16,-0.060429
@10,-0.063484
@29,-0.078374
@13,-0.12379
@26,-0.25801799999999997
MERL,-3.17364
ENS,-7.121359999999999
GRASS,-8.161436999999985
POPCAT,-13.4992
@63,-20.663546
@1,-30.653754999999997
FIL,-35.27859
BANANA,-35.883988
@51,-37.27303
kSHIB,-39.824881999999995
@49,-40.712216999999995
NTRN,-109.60954600000002
MATIC,-126.593131
CANTO,-188.45613000000003
FXS,-236.046882
ILV,-279.0688
IP,-573.142834
CRV,-702.073712
BRETT,-834.303343
FARTCOIN,-1137.3932800000007
S,-8642.64088
IO,-21910.863927
